supplier_id,payment_term,payment_term_id
1102588,Net 45,150249
1102589,Net 45,150249
1102590,Net 45,150249
1102591,Net 45,150249
1102592,Net 45,150249
1102593,Net 45,150249
1102594,Instant,45
1102595,Net 45,150249
1102596,Net 30,47
1102597,Net 30,47
1102598,Net 45,150249
1102599,Net 30,47
1102600,Net 45,150249
1102601,Net 30,47
1102602,Net 45,150249
1102603,Net 45,150249
1102604,Net 45,150249
1102605,Net 30,47
1102606,Net 45,150249
1102607,Net 45,150249
1102608,Net 45,150249
1102609,Net 45,150249
1102610,Net 45,150249
1102611,Net 45,150249
1102612,Net 45,150249
1102613,Net 30,47
1102614,Net 30,47
1102615,Net 30,47
1102616,Net 45,150249
1102617,Net 45,150249
1102618,Net 45,150249
1102619,Net 45,150249
1102620,Net 30,47
1102621,Net 30,47
1102622,Net 30,47
1102623,Net 45,150249
1102624,Net 30,47
1102625,Net 45,150249
1102626,Net 45,150249
1102627,Instant,45
1102628,Net 45,150249
1102629,Net 45,150249
1102630,Net 30,47
1102631,Net 30,47
1102632,Net 30,47
1102633,Net 45,150249
1102634,Net 30,47
1102635,Net 45,150249
1102636,Net 30,47
1102637,Net 45,150249
1102638,Net 45,150249
1102639,Net 30,47
1102640,Net 45,150249
1102641,Net 45,150249
1102642,Net 45,150249
1102643,Net 45,150249
1102644,Net 45,150249
1102645,Net 30,47
1102646,Net 30,47
1102647,Net 45,150249
1102648,Net 45,150249
1102649,Net 30,47
1102650,Net 30,47
1102652,Net 45,150249
1102653,Net 45,150249
1102654,Net 45,150249
1102655,Net 45,150249
1102656,Net 45,150249
1102658,Net 30,47
1102659,Net 45,150249
1102660,Net 30,47
1102661,Net 30,47
1102662,Net 45,150249
1102664,Net 30,47
1102665,Net 45,150249
1102666,Net 30,47
1102667,Net 30,47
1102668,Net 45,150249
1102669,Net 30,47
1102670,Net 45,150249
1102671,Net 45,150249
1102672,Instant,45
1102673,Instant,45
1102674,Net 45,150249
1102675,Net 45,150249
1102676,Net 45,150249
1102678,Net 45,150249
1102679,Net 45,150249
1102680,Net 45,150249
1102681,Net 30,47
1102682,Net 45,150249
1102683,Net 30,47
1102684,Net 45,150249
1102685,Net 30,47
1102686,Net 30,47
1102687,Net 45,150249
1102688,Net 30,47
1102689,Net 30,47
1102690,Net 45,150249
1102691,Net 45,150249
1102692,Net 30,47
1102693,Net 45,150249
1102694,Net 30,47
1102695,Net 30,47
1102696,Net 45,150249
1102697,Net 45,150249
1102698,Net 45,150249
1102699,Net 45,150249
1102700,Net 30,47
1102701,Net 30,47
1102702,Net 30,47
1102704,Net 30,47
1102705,Net 30,47
1102706,Net 30,47
1102707,Net 30,47
1102708,Net 45,150249
1102709,Net 45,150249
1102710,Net 30,47
1102711,Instant,45
1102712,Net 45,150249
1102713,Net 30,47
1102715,Net 30,47
1102716,Instant,45
1102717,Net 30,47
1102718,Net 45,150249
1102719,Net 30,47
1102720,Net 45,150249
1102721,Net 30,47
1102722,Net 45,150249
1102723,Net 45,150249
1102724,Net 30,47
1102725,Net 45,150249
1102726,Net 45,150249
1102727,Net 30,47
1102728,Net 45,150249
1102729,Net 30,47
1102730,Net 30,47
1102731,Net 30,47
1102732,Net 30,47
1102734,Net 30,47
1102736,Net 30,47
1102737,Net 30,47
1102738,Instant,45
1102739,Net 45,150249
1102740,Net 45,150249
1102741,Net 45,150249
1102742,Net 30,47
1102743,Net 30,47
1102744,Net 45,150249
1102745,Net 45,150249
1102746,Net 30,47
1102747,Net 30,47
1102748,Net 30,47
1102749,Net 30,47
1102750,Net 45,150249
1102751,Net 45,150249
1102753,Net 45,150249
1102754,Instant,45
1102755,Instant,45
1102756,Net 30,47
1102757,Net 30,47
1102758,Net 30,47
1102759,Net 30,47
1102761,Net 30,47
1102762,Instant,45
1102763,Net 30,47
1102764,Instant,45
1102765,Net 30,47
1102767,Net 30,47
1102769,Net 30,47
1102770,Instant,45
1102771,Net 30,47
1102772,Net 30,47
1102773,Net 30,47
1102774,Instant,45
1102775,Net 30,47
1102776,Instant,45
1102777,Net 45,150249
1102778,Net 30,47
1102779,Net 45,150249
1102780,Net 45,150249
1102781,Net 30,47
1102782,Net 30,47
1102784,Instant,45
1102785,Net 30,47
1102786,Net 45,150249
1102787,Net 45,150249
1102788,Net 45,150249
1102789,Net 45,150249
1102790,Net 30,47
1102794,Instant,45
1102796,Net 30,47
1102797,Instant,45
1102798,Net 45,150249
1102799,Net 45,150249
1102800,Net 45,150249
1102801,Net 45,150249
1102802,Net 30,47
1102803,Net 45,150249
1102804,Net 30,47
1102805,Net 30,47
1102806,Net 30,47
1102807,Net 45,150249
1102808,Net 45,150249
1102809,Net 30,47
1102810,Net 30,47
1102811,Net 45,150249
1102812,Net 30,47
1102813,Net 30,47
1102814,Net 30,47
1102815,Net 45,150249
1102816,Net 45,150249
1102817,Net 30,47
1102818,Net 45,150249
1102820,Net 30,47
1102821,Net 30,47
1102822,Net 30,47
1102823,Net 30,47
1102824,Net 30,47
1102825,Net 30,47
1102826,Net 30,47
1102827,Net 30,47
1102828,Net 30,47
1102829,Net 30,47
1102830,Net 30,47
1102831,Net 30,47
1102832,Net 45,150249
1102833,Net 45,150249
1102834,Net 30,47
1102835,Net 30,47
1102836,Net 45,150249
1102837,Net 30,47
1102838,Net 45,150249
1102839,Net 45,150249
1102840,Net 45,150249
1102841,Net 30,47
1102842,Net 30,47
1102843,Net 45,150249
1102844,Net 45,150249
1102845,Net 45,150249
1102846,Net 30,47
1102847,Net 30,47
1102848,Net 45,150249
1102849,Net 30,47
1102850,Net 45,150249
1102851,Net 45,150249
1102852,Net 45,150249
1102853,Net 45,150249
1102854,Net 30,47
1102855,Net 45,150249
1102856,Net 45,150249
1102857,Net 45,150249
1102858,Net 30,47
1102859,Net 45,150249
1102860,Net 45,150249
1102861,Net 30,47
1102862,Net 30,47
1102863,Net 30,47
1102864,Net 45,150249
1102865,Net 30,47
1102866,Net 45,150249
1102867,Net 45,150249
1102868,Net 45,150249
1102869,Net 45,150249
1102870,Net 45,150249
1102871,Net 45,150249
1102872,Net 45,150249
1102873,Net 45,150249
1102874,Net 30,47
1102875,Net 30,47
1102877,Net 45,150249
1102878,Net 45,150249
1102879,Net 45,150249
1102880,Net 45,150249
1102881,Net 30,47
1102882,Net 45,150249
1102883,Net 30,47
1102884,Net 45,150249
1102885,Net 45,150249
1102886,Instant,45
1102887,Net 30,47
1102888,Net 30,47
1102889,Net 45,150249
1102890,Net 45,150249
1102891,Net 30,47
1102892,Net 45,150249
1102893,Net 45,150249
1102894,Net 45,150249
1102895,Net 45,150249
1102896,Net 30,47
1102897,Net 45,150249
1102898,Net 30,47
1102899,Net 45,150249
1102900,Net 45,150249
1102901,Net 30,47
1102902,Instant,45
1102903,Net 45,150249
1102904,Net 30,47
1102905,Instant,45
1102906,Net 45,150249
1102907,Net 45,150249
1102908,Net 30,47
1102909,Net 30,47
1102910,Net 30,47
1102911,Net 30,47
1102912,Net 45,150249
1102913,Net 45,150249
1102914,Net 45,150249
1102915,Net 30,47
1102916,Net 30,47
1102917,Net 30,47
1102918,Net 45,150249
1102919,Net 30,47
1102920,Net 45,150249
1102921,Net 45,150249
1102922,Net 45,150249
1102923,Net 45,150249
1102924,Net 30,47
1102925,Net 30,47
1102926,Net 30,47
1102927,Net 30,47
1102928,Net 45,150249
1102929,Net 30,47
1102930,Net 45,150249
1102931,Net 45,150249
1102932,Net 45,150249
1102933,Net 30,47
1102934,Net 45,150249
1102935,Net 30,47
1102936,Net 45,150249
1102937,Net 45,150249
1102938,Net 30,47
1102939,Net 30,47
1102940,Net 30,47
1102941,Net 45,150249
1102943,Net 45,150249
1102944,Net 30,47
1102945,Net 30,47
1102946,Net 45,150249
1102947,Net 45,150249
1102948,Net 45,150249
1102949,Net 45,150249
1102950,Net 30,47
1102951,Net 45,150249
1102952,Net 30,47
1102953,Net 45,150249
1102954,Net 45,150249
1102955,Net 30,47
1102956,Net 45,150249
1102957,Net 30,47
1102958,Net 45,150249
1102959,Net 30,47
1102960,Net 45,150249
1102961,Net 45,150249
1102962,Net 30,47
1102963,Instant,45
1102964,Net 45,150249
1102965,Net 30,47
1102966,Net 45,150249
1102967,Net 45,150249
1102968,Net 45,150249
1102969,Net 30,47
1102970,Net 30,47
1102971,Net 30,47
1102972,Net 45,150249
1102973,Net 45,150249
1102974,Net 45,150249
1102975,Net 45,150249
1102976,Net 45,150249
1102977,Net 30,47
1102978,Net 30,47
1102979,Net 30,47
1102980,Net 30,47
1102981,Net 30,47
1102982,Net 30,47
1102983,Net 45,150249
1102984,Net 30,47
1102985,Net 30,47
1102986,Net 30,47
1102987,Net 30,47
1102988,Net 45,150249
1102989,Net 30,47
1102990,Net 30,47
1102991,Net 30,47
1102992,Net 30,47
1102993,Net 30,47
1102994,Net 30,47
1102995,Net 45,150249
1102996,Net 45,150249
1102997,Net 45,150249
1102998,Net 45,150249
1102999,Net 30,47
1103000,Net 45,150249
1103001,Net 30,47
1103002,Net 30,47
1103003,Net 30,47
1103004,Net 45,150249
1103005,Net 30,47
1103006,Net 45,150249
1103007,Net 45,150249
1103008,Net 45,150249
1103009,Net 30,47
1103010,Instant,45
1103011,Net 45,150249
1103012,Net 45,150249
1103013,Net 30,47
1103014,Net 30,47
1103015,Net 45,150249
1103016,Net 30,47
1103017,Net 30,47
1103018,Net 45,150249
1103019,Net 45,150249
1103020,Net 30,47
1103022,Net 45,150249
1103023,Net 45,150249
1103024,Net 45,150249
1103026,Net 45,150249
1103027,Instant,45
1103028,Net 45,150249
1103029,Net 45,150249
1103030,Net 45,150249
1103031,Net 45,150249
1103032,Net 45,150249
1103033,Net 30,47
1103034,Net 30,47
1103035,Net 30,47
1103036,Net 30,47
1103037,Net 45,150249
1103038,Net 45,150249
1103039,Net 30,47
1103040,Net 45,150249
1103041,Net 30,47
1103042,Net 30,47
1103043,Net 45,150249
1103044,Net 45,150249
1103045,Net 30,47
1103046,Net 30,47
1103047,Net 45,150249
1103048,Net 30,47
1103049,Net 45,150249
1103050,Net 30,47
1103051,Net 45,150249
1103052,Net 45,150249
1103053,Net 45,150249
1103054,Net 45,150249
1103055,Net 30,47
1103056,Net 45,150249
1103057,Net 45,150249
1103058,Net 45,150249
1103059,Net 45,150249
1103060,Net 30,47
1103061,Net 45,150249
1103062,Net 45,150249
1103063,Net 30,47
1103064,Net 45,150249
1103065,Net 45,150249
1103066,Net 45,150249
1103067,Net 30,47
1103068,Net 45,150249
1103069,Net 30,47
1103070,Net 45,150249
1103071,Net 45,150249
1103072,Net 30,47
1103073,Net 45,150249
1103074,Net 30,47
1103075,Net 30,47
1103076,Net 45,150249
1103077,Net 45,150249
1103078,Net 45,150249
1103079,Net 30,47
1103080,Net 45,150249
1103081,Net 30,47
1103082,Net 30,47
1103083,Net 30,47
1103084,Net 30,47
1103085,Net 45,150249
1103086,Net 30,47
1103087,Net 30,47
1103088,Net 45,150249
1103089,Net 45,150249
1103090,Instant,45
1103091,Net 30,47
1103092,Net 30,47
1103093,Net 30,47
1103094,Net 30,47
1103095,Net 45,150249
1103096,Net 45,150249
1103098,Net 30,47
1103099,Net 30,47
1103100,Net 30,47
1103101,Net 30,47
1103102,Net 45,150249
1103103,Net 30,47
1103104,Net 30,47
1103105,Net 30,47
1103106,Net 30,47
1103107,Net 30,47
1103108,Net 45,150249
1103109,Net 30,47
1103110,Instant,45
1103111,Net 30,47
1103112,Net 45,150249
1103113,Net 45,150249
1103114,Net 30,47
1103115,Net 30,47
1103116,Net 30,47
1103117,Net 30,47
1103118,Net 30,47
1103119,Net 30,47
1103121,Net 30,47
1103122,Net 30,47
1103123,Net 45,150249
1103124,Net 30,47
1103125,Net 30,47
1103126,Net 45,150249
1103127,Net 45,150249
1103128,Net 45,150249
1103129,Net 30,47
1103130,Net 30,47
1103131,Net 45,150249
1103132,Net 30,47
1103133,Net 30,47
1103134,Net 45,150249
1103136,Net 30,47
1103137,Net 45,150249
1103138,Net 45,150249
1103139,Net 45,150249
1103140,Net 45,150249
1103141,Net 30,47
1103142,Net 30,47
1103143,Net 45,150249
1103144,Net 45,150249
1103145,Net 30,47
1103146,Net 30,47
1103147,Net 30,47
1103148,Net 30,47
1103149,Net 30,47
1103150,Net 45,150249
1103151,Net 45,150249
1103152,Net 45,150249
1103153,Net 45,150249
1103154,Net 45,150249
1103155,Net 45,150249
1103156,Net 30,47
1103157,Net 30,47
1103158,Net 45,150249
1103159,Net 30,47
1103161,Net 45,150249
1103162,Net 30,47
1103163,Net 45,150249
1103164,Net 45,150249
1103165,Net 45,150249
1103166,Net 30,47
1103167,Net 45,150249
1103169,Net 45,150249
1103170,Net 45,150249
1103171,Net 30,47
1103172,Net 45,150249
1103173,Net 30,47
1103174,Net 45,150249
1103175,Net 45,150249
1103176,Net 45,150249
1103177,Net 45,150249
1103178,Net 45,150249
1103179,Net 45,150249
1103180,Net 45,150249
1103181,Net 45,150249
1103182,Net 45,150249
1103183,Net 45,150249
1103184,Net 30,47
1103185,Net 45,150249
1103186,Instant,45
1103187,Net 30,47
1103189,Net 45,150249
1103190,Instant,45
1103191,Net 30,47
1103192,Net 30,47
1103195,Net 45,150249
1103196,Net 30,47
1103198,Net 30,47
1103199,Net 45,150249
1103200,Net 45,150249
1103202,Net 30,47
1103203,Net 30,47
1103204,Net 30,47
1103206,Net 30,47
1103207,Instant,45
1103208,Net 45,150249
1103209,Instant,45
1103210,Net 30,47
1103212,Net 45,150249
1103213,Net 30,47
1103214,Instant,45
1103218,Instant,45
1103223,Instant,45
1103224,Net 45,150249
1108933,Instant,45
1108934,Instant,45
1108942,Net 30,47
1108946,Net 30,47
1108949,Instant,45
1108951,Instant,45
1108952,Instant,45
1108956,Net 45,150249
1108957,Instant,45
1108961,Net 30,47
1108963,Instant,45
1108966,Instant,45
1108967,Net 30,47
1108968,Instant,45
1108972,Net 45,150249
1108987,Net 30,47
1108988,Net 30,47
1108994,Net 45,150249
1108996,Net 45,150249
1108997,Instant,45
1109000,Net 30,47
1109004,Net 45,150249
1109010,Net 30,47
1127300,Net 30,47
1130445,Net 30,47
1130483,Net 45,150249
1130544,Net 45,150249
1131493,Instant,45
1132362,Net 30,47
1133812,Net 45,150249
1133820,Instant,45
1133822,Net 45,150249
1133823,Net 30,47
1133824,Net 45,150249
1133826,Net 45,150249
1133827,Net 45,150249
1134845,Net 30,47
1135212,Net 45,150249
1135310,Net 45,150249
1135473,Net 30,47
1140738,Net 30,47
1141317,Net 30,47
1142435,Net 45,150249
1144559,Net 30,47
1144609,Net 30,47
1145323,Net 30,47
1145347,Net 30,47
1147393,Net 30,47
1147394,Net 45,150249
1147395,Net 45,150249
1147396,Net 30,47
1147397,Net 30,47
1147398,Net 30,47
1147399,Net 45,150249
1147400,Net 30,47
1147401,Net 45,150249
1147403,Net 30,47
1147404,Net 30,47
1147405,Net 30,47
1147406,Net 30,47
1147407,Net 30,47
1147408,Net 30,47
1147409,Net 45,150249
1147410,Net 30,47
1147411,Net 30,47
1147412,Net 30,47
1147413,Net 30,47
1147414,Net 30,47
1147416,Net 45,150249
1147417,Net 30,47
1147418,Net 30,47
1147419,Net 30,47
1147420,Net 30,47
1156175,Net 30,47
1156931,Net 30,47
1157255,Net 45,150249
1157885,Net 30,47
1157991,Net 30,47
1158143,Net 30,47
1158479,Net 30,47
1160429,Net 30,47
1160434,Net 30,47
1160530,Net 45,150249
1160544,Net 30,47
1160577,Net 30,47
1160586,Net 30,47
1160588,Net 30,47
1162125,Net 30,47
1162126,Net 45,150249
1162128,Net 30,47
1162787,Net 30,47
1163085,Net 30,47
1163086,Net 30,47
1163098,Net 30,47
1164004,Net 30,47
1171410,Net 30,47
1171413,Instant,45
1171553,Net 30,47
1171597,Net 30,47
1171700,Instant,45
1171704,Net 30,47
1171716,Instant,45
1172012,Instant,45
1172162,Net 30,47
1172167,Instant,45
1172328,Net 45,150249
1172330,Net 30,47
1172340,Net 30,47
1172536,Net 30,47
1172579,Net 30,47
1172582,Instant,45
1173638,Net 30,47
1176444,Net 30,47
1176450,Net 30,47
1176459,Net 30,47
1176460,Net 30,47
1176461,Net 30,47
1176462,Net 30,47
1176472,Net 30,47
1178739,Instant,45
1178782,Net 30,47
1180034,Instant,45
1180051,Instant,45
1180192,Net 30,47
1180203,Net 30,47
1180287,Net 45,150249
1180457,Net 30,47
1180670,Net 30,47
1180922,Net 30,47
1181958,Net 30,47
1182232,Net 30,47
1182883,Net 30,47
1182936,Net 30,47
1183183,Net 30,47
1183503,Net 30,47
1183506,Net 30,47
1183507,Net 30,47
1183668,Net 30,47
1184557,Net 30,47
1184661,Net 30,47
1184824,Net 30,47
1186472,Net 30,47
1186552,Net 30,47
1186554,Net 30,47
1186811,Net 30,47
1189310,Net 30,47
1191319,Net 30,47
1191347,Instant,45
1191348,Net 45,150249
1191469,Net 30,47
1191654,Net 45,150249
1191743,Net 30,47
1191744,Net 30,47
1191745,Net 30,47
1191755,Net 45,150249
1192086,Net 30,47
1193358,Net 30,47
1194082,Instant,45
1194201,Net 30,47
1194207,Net 30,47
1194228,Net 30,47
1194387,Net 30,47
1194553,Net 30,47
1194555,Net 30,47
1195695,Net 45,150249
1195696,Net 45,150249
1195700,Net 30,47
1195713,Net 30,47
1195715,Net 30,47
1195850,Net 30,47
1195962,Net 30,47
1196807,Net 30,47
1196998,Net 30,47
1196999,Net 30,47
1197002,Instant,45
1199650,Net 30,47
1199897,Instant,45
1199959,Instant,45
1200269,Instant,45
1200369,Instant,45
1200498,Net 30,47